"General informations","Informations générales"
"Enabled","Activé"
"Enable user tracking","Activer le tracking"
"Site ID,"Numéro de site"
"Recommendations API","API des recommandations"
"API url","URL de l'API"
"Recommendations on product page","Recommandations sur la page produit"
"End point","End point"
"Products count","Nombre de produit"
"Recommendations on cart page","Recommandations sur la page panier"
"Recommendations on category page","Recommandations sur la page catégorie"
"Recommendations on home page","Recommandations sur la page d'accueil"
"You may be interested in the following items","Vous pourriez être intéressé par ces produits"